[      73ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[      81ms] [LOG] [HMR] connected @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   10313ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed:  @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   11321ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   12323ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   13328ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   14332ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   15336ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   20343ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   25353ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   30378ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   35417ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   40479ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   45583ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   50783ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=l2Zp0-_VDyJPpuHEZlswg' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
